user_pseudo_id,recency,frequency,monetary
e4dfe4fb9651706c9f4d269e1e565044,256,1,0
d1f4569625eab3b249c3cd200d1c4fd6,512,1,0
1bc15184753def3334b67f8045cbb1fb,512,1,0
b18d3f1e73bea0ec88ff447fa5193a11,512,1,0
d1e3bcced12dfde70031d643fc191da2,512,1,0
a01a4cf9a1a05aff9c9a4c2f48144de1,512,1,0
459faeafdb1783677bcf52442bae92ac,512,1,0
aed36329680401be9cbb3a081d27e783,512,1,0
68f67ba128dcfc615df4a4c5eb761b8a,512,1,0
b60863c072666f81c8de51794a6b05f2,512,1,0
5fba268e00f8fc665226ba1e9cbad83a,512,1,0
aaf76cda1e4af1ef09df475ca5615a4b,512,1,0
21f947d4e7b54783ea1b3adcc886b254,512,1,0
3e81f2f55ef230ee082dcaea031fd94c,512,1,0
137d7ce0654fd7ed8bf27aa1da6d0c33,512,1,0
9198c549aa8e552e3aab80a2028223d9,512,1,0
759b62bc99d738971b419d6fa1187e3a,512,1,0
7d711aef9acee69cdc239734c5319fcb,512,1,0
b962066798ed44d418ccce94735f25cd,512,1,0
7d0393d6284e02a3ad8b99e526d79f6f,512,1,0
3bada90d5d66daff62e3dc7c11943ff6,512,1,0
e0b6952e9297449ae3efcdb04bc65cb1,512,1,0
ece424b872f61980019c2e6c725dcc53,512,1,0
1ab45271576702e04bc6491142328654,512,1,0
f371fbf109caf4a04825aaddfc4c0940,512,1,0
99175e3f0b793ffad4198e5d102bd975,512,1,0
348714447fced43094c300dc0779c7d4,512,1,0
63c62b9ac3f535054bebd10c2bc2e285,512,1,0
6d853f7fd001435d0e831dcd39b7758c,512,1,0
cc209602facb470a2aaf8123e9b3b659,257,1,0
1995dd7d818ec65b8eaf888cc60de599,257,1,0
cbc8acbc59189e5cb7fcc842206c0966,257,1,0
18976b4ef9404da5adabcf6f4b56af7d,257,1,0
6ab424acd2e7e497eae7c9f4cf3e6adb,257,1,0
81cde35adccfb411645d61020ceadc6e,257,1,0
ce6ca9201562c4652db7b1de54f00f20,513,1,0
2e106c80fc700f47c99a04e3f4ac1e14,513,1,0
54f8ca08e27d49536b1410c3e9b1d811,513,1,0
824e5fa0527c709063347855cb0d1b93,513,1,0
f38772106d7200f80adec94297f62628,513,1,0
54dfc5a246ee8b2355bb7173d56b3290,513,1,0
3367d2510f7c752dc9385f7270b0189a,513,1,0
af93afee5f92341859bc854608a66048,513,1,0
6e8e1a76ae0b8b19371603c77aa65bcc,513,1,0
1f6d50a43b447af6f90488b42d492c3e,513,1,0
538b5c77673467d5858455155a72683b,513,1,0
a5f15c6da0e91180333fe5d192923fd7,513,1,0
2aca9c55a6a91803d153c4210f59dbd9,513,1,0
706315e930a3233a21ce3e9ea9ab4165,513,1,0
eb8c17ddb58e4d152e6ab4510f329f06,513,1,0
0a73a2786047aead626f3f42ded2e823,513,1,0
a3732d5572c0211ba9d451ed08f99a92,513,1,0
7fde84162978cf9af93e18dbcc8cfdb8,258,1,0
ce616e55881bd651e5360ceb1493a312,258,1,0
a552072482d4d63951055cf32fbad4d9,258,1,0
1365bcd4312064de39e371c7f40804da,258,1,0
